The	O
pool	B-NEG
seemed	O
small	O
and	O
lacking	O
in	O
any	O	
personality	O
.	O

The	O
spa	B-POS
massage	I-POS
I	O
had	O
was	O
professional	O
soothing	O
.	O

I	O
think	O
about	O
the	O
cute	O
and	O
fluently	O
english	O
speaking	O
Christine	O
,	O
Leu-Leu	O
,	O
Jam	O
,	O
and	O
of	O
course	O
the	O
unforgettable	O
Miss	O
Trishie	O
who	O
is	O
a	O
real	O
benediction	O
.	O

Great	O
location	B-POS
200	O
yds	O
from	O
Market	O
etc	O
.	O

She	O
rinsed	O
off	O
with	O
water	O
only	O
without	O
the	O
use	O
of	O
dish	O
detergent	O
on	O
used	O
plates	O
,	O
cups	O
and	O
utensils	O
.	O

We	O
were	O
almost	O
20	O
on	O
an	O
award	O
tour	O
.	O

They	O
also	O
have	O
free	O
wi-fi	B-POS
in	O
the	O
rooms	O
which	O
made	O
calling	O
home	O
much	O
easier	O
.	O

Every	O
taxi	O
driver	O
knew	O
where	O
we	O
were	O
going	O
.	O

Breakfast	B-NEU
was	O
OK	O
but	O
not	O
as	O
good	O
as	O
other	O
places	O
that	O
we	O
had	O
stayed	O
.	O

Choosing	O
a	O
river	O
view	I-NEU
would	O
not	O
be	O
advisable	O
if	O
you	O
want	O
super	O
quiet	O
because	O
it	O
is	O
facing	O
a	O
very	O
very	O
busy	O
street	O
.	O

This	O
Hotel	O
has	O
been	O
referbished	O
.	O

Located	O
in	O
the	O
centre	O
of	O
the	O
city	O
this	O
hotel	O
has	O
all	O
we	O
would	O
ever	O
ask	O
.	O

Great	O
value	O
for	O
money	O
,	O
but	O
I'd	O
give	O
the	O
bar	B-NEG
downstairs	O
a	O
miss	O
,	O
cocktails	B-NEU
were	O
VERY	O
pricey	O
,	O
but	O
at	O
the	O
same	O
time	O
still	O
delicious	O
.	O

The	O
best	O
part	O
of	O
this	O
hotel	O
was	O
the	O
location	B-POS
:	O
1	O
.	O

Most	O
tours	O
will	O
pick	O
you	O
up	O
their	O
since	O
you	O
are	O
in	O
district	O
1	O
.	O

The	O
staff	B-POS
was	O
very	O
helpful	O
,	O
friendly	O
and	O
instantly	O
made	O
me	O
feel	O
at	O
home	O
.	O

If	O
you're	O
happy	O
with	O
toast	O
and	O
fruit	O
however	O
,	O
you'll	O
be	O
fine	O
!	O

Duc	O
confirmed	O
very	O
quickly	O
,	O
no	O
problems	O
with	O
check	B-POS
in	I-POS
.	O

Thank	O
you	O
Mr	O
.	O
Dat	O
,	O
thank	O
you	O
Caravelle	O
!	O

The	O
lobby	B-POS
was	O
fine	O
and	O
the	O
restaurant	B-POS
for	O
breakfast	O
was	O
very	O
modern	O
and	O
attractive	O
.	O

I	O
was	O
also	O
extremely	O
disappointed	O
on	O
checking	B-NEG
out	I-NEG
when	O
presenting	O
a	O
credit	O
card	O
,	O
they	O
expected	O
an	O
extra	O
3	O
for	O
the	O
privilege	O
.	O

Our	O
room	B-NEU
on	O
the	O
19th	O
floor	O
had	O
a	O
wonderful	O
city	O
view	B-POS
and	O
we	O
watched	O
the	O
New	O
Year	O
fireworks	O
from	O
the	O
comfort	O
of	O
our	O
room	O
.	O

But	O
has	O
the	O
most	O
impressive	O
room	B-POS
-	O
NEW	O
,	O
spacious	O
,	O
very	O
bright	O
.	O

The	O
hotel	O
is	O
close	O
to	O
the	O
opera	O
house	O
and	O
a	O
few	O
malls	O
within	O
walking	O
distance	O
.	O

One	O
issue	O
I	O
had	O
with	O
the	O
shower	B-NEG
was	O
that	O
you	O
couldn't	O
angle	O
the	O
shower	O
head	O
.	O

We	O
had	O
checked-out	B-NEU
that	O
morning	O
and	O
the	O
hotel	O
stored	O
our	O
luggage	O
for	O
free	O
.	O

We	O
paid	O
USD	O
65	O
incl	O
BF	O
which	O
compared	O
to	O
other	O
45	O
star	O
hotels	O
downtown	O
HCMC	O
is	O
a	O
really	O
good	O
deal	O
.	O

My	O
solo	O
traveller	O
room	B-NEU
had	O
a	O
double	O
bed	B-NEU
and	O
a	O
very	O
compact	O
but	O
clean	O
bathroom	B-POS
.	O

Location	B-NEU
is	O
a	O
bit	O
off	O
the	O
main	O
belt	O
and	O
breakfast	B-NEG
is	O
a	O
little	O
bland	O
but	O
overall	O
a	O
very	O
enjoyable	O
stay	O
!	O

Safe	O
works	O
flawlessly	O
,	O
wooden	B-POS
floors	I-POS
are	O
amazing	O
,	O
finishings	O
are	O
nice	O
,	O
bathroom	B-NEU
is	O
excellent	O
if	O
small	O
.	O

We	O
are	O
returning	O
this	O
year	O
from	O
Dec	O
23-Dec	O
26	O
for	O
Christmas	O
.	O

We	O
had	O
a	O
corner	O
room	I-NEG
,	O
but	O
was	O
actually	O
really	O
badly	O
laid	O
out	O
